ID_pais;País;Fecha;Activos;Inc Recuperados;Recuperados;Inc. Fallecidos;Fallecidos;Inc. Confirmados;Confirmados;Confirmados 100 mil hab.
1;España ;01/04/2020;73.492;4.096;26.743;950;10.003;8.102;110.238;234,88
1;España ;31/03/2020;70.436;3.388;22.647;864;9.053;7.719;102.136;217,61
1;España ;30/03/2020;66.969;2.479;19.259;849;8.189;9.222;94.417;201,17
1;España ;29/03/2020;61.075;2.071;16.780;812;7.340;6.398;85.195;181,52
1;España ;28/03/2020;57.560;2.424;14.709;838;6.528;6.549;78.797;167,89
1;España ;27/03/2020;54.273;2.928;12.285;832;5.690;8.189;72.248;153,93
1;España ;26/03/2020;49.844;2.342;9.357;769;4.858;7.871;64.059;136,49
1;España ;25/03/2020;45.084;1.648;7.015;655;4.089;8.578;56.188;119,72
1;España ;24/03/2020;38.809;1.573;5.367;738;3.434;7.937;47.610;101,44
1;España ;23/03/2020;33.183;1.219;3.794;514;2.696;6.584;39.673;84,53
1;España ;22/03/2020;28.332;450;2.575;462;2.182;4.517;33.089;70,50
1;España ;21/03/2020;24.727;0;2.125;394;1.720;3.646;28.572;60,88
1;España ;20/03/2020;21.475;540;2.125;324;1.326;4.946;24.926;53,11
1;España ;19/03/2020;17.393;478;1.585;235;1.002;2.833;19.980;42,57
1;España ;18/03/2020;15.273;26;1.107;169;767;3.431;17.147;36,53
1;España ;17/03/2020;12.037;53;1.081;107;598;2.538;13.716;29,22
1;España ;16/03/2020;9.659;498;1.028;182;491;1.987;11.178;23,82
1;España ;15/03/2020;8.352;13;530;114;309;2.800;9.191;19,58
1;España ;14/03/2020;5.679;324;517;62;195;1.159;6.391;13,62
1;España ;13/03/2020;4.906;10;193;13;133;1.023;5.232;11,15
1;España ;12/03/2020;3.906;0;183;36;120;1.259;4.209;8,97
1;España ;11/03/2020;2.683;151;183;37;84;822;2.950;6,29
1;España ;10/03/2020;2.049;0;32;12;47;506;2.128;4,53
1;España ;09/03/2020;1.555;2;32;19;35;623;1.622;3,46
1;España ;08/03/2020;953;0;30;6;16;499;999;2,13
1;España ;07/03/2020;460;28;30;5;10;100;500;1,07
1;España ;06/03/2020;393;0;2;0;5;35;400;0,85
1;España ;05/03/2020;358;0;2;2;5;128;365;0,78
1;España ;04/03/2020;232;0;2;2;3;39;237;0,50
1;España ;03/03/2020;195;0;2;1;1;48;198;0,42
1;España ;02/03/2020;118;0;2;;;66;150;0,32
1;España ;01/03/2020;82;0;2;;;39;84;0,18
1;España ;29/02/2020;43;0;2;;;13;45;0,10
1;España ;28/02/2020;30;0;2;;;17;32;0,07
1;España ;27/02/2020;13;0;2;;;2;15;0,03
1;España ;26/02/2020;11;0;2;;;7;13;0,03
1;España ;25/02/2020;4;0;2;;;4;6;0,01
1;España ;24/02/2020;0;0;2;;;0;2;0
1;España ;23/02/2020;0;0;2;;;0;2;0
1;España ;22/02/2020;0;0;2;;;0;2;0
1;España ;21/02/2020;0;0;2;;;0;2;0
1;España ;20/02/2020;0;0;2;;;0;2;0
1;España ;19/02/2020;0;0;2;;;0;2;0
1;España ;18/02/2020;0;0;2;;;0;2;0
1;España ;17/02/2020;0;0;2;;;0;2;0
1;España ;16/02/2020;0;0;2;;;0;2;0
1;España ;15/02/2020;0;2;2;;;0;2;0
1;España ;14/02/2020;2;;;;;0;2;0
1;España ;13/02/2020;2;;;;;0;2;0
1;España ;12/02/2020;2;;;;;0;2;0
1;España ;11/02/2020;2;;;;;0;2;0
1;España ;10/02/2020;2;;;;;0;2;0
1;España ;09/02/2020;2;;;;;1;2;0
1;España ;08/02/2020;1;;;;;0;1;0
1;España ;07/02/2020;1;;;;;0;1;0
1;España ;06/02/2020;1;;;;;0;1;0
1;España ;05/02/2020;1;;;;;0;1;0
1;España ;04/02/2020;1;;;;;0;1;0
1;España ;03/02/2020;1;;;;;0;1;0
1;España ;02/02/2020;1;;;;;0;1;0
1;España ;01/02/2020;1;;;;;1;1;0
2;Alemania ;01/04/2020;58.252;2.600;18.700;145;920;6.064;77.872;93,80
2;Alemania ;31/03/2020;54.933;2.600;16.100;130;775;4.923;71.808;86,50
2;Alemania ;30/03/2020;52.740;4.289;13.500;112;645;4.790;66.885;80,57
2;Alemania ;29/03/2020;52.351;730;9.211;100;533;4.400;62.095;74,80
2;Alemania ;28/03/2020;48.781;1.823;8.481;91;433;6.824;57.695;69,50
2;Alemania ;27/03/2020;43.871;985;6.658;75;342;6.933;50.871;61,28
2;Alemania ;26/03/2020;37.998;2.126;5.673;61;267;6.615;43.938;52,93
2;Alemania ;25/03/2020;33.570;304;3.547;49;206;4.337;37.323;44,96
2;Alemania ;24/03/2020;29.586;2.977;3.243;34;157;3.930;32.986;39,73
2;Alemania ;23/03/2020;28.667;0;266;29;123;4.183;29.056;35,00
2;Alemania ;22/03/2020;24.513;33;266;10;94;2.660;24.873;29,96
2;Alemania ;21/03/2020;21.896;53;233;17;84;2.365;22.213;26,76
2;Alemania ;20/03/2020;19.601;67;180;23;67;4.528;19.848;23,91
2;Alemania ;19/03/2020;15.163;8;113;16;44;2.993;15.320;18,45
2;Alemania ;18/03/2020;12.194;38;105;4;28;3.070;12.327;14,85
2;Alemania ;17/03/2020;9.166;0;67;7;24;1.985;9.257;11,15
2;Alemania ;16/03/2020;7.188;21;67;6;17;1.477;7.272;8,76
2;Alemania ;15/03/2020;5.738;0;46;2;11;1.210;5.795;6,98
2;Alemania ;14/03/2020;4.530;0;46;2;9;910;4.585;5,52
2;Alemania ;13/03/2020;3.622;21;46;4;7;1.597;3.675;4,43
2;Alemania ;12/03/2020;2.050;0;25;0;3;170;2.078;2,50
2;Alemania ;11/03/2020;1.880;7;25;1;3;451;1.908;2,30
2;Alemania ;10/03/2020;1.437;0;18;0;2;281;1.457;1,76
2;Alemania ;09/03/2020;1.156;0;18;2;2;136;1.176;1,42
2;Alemania ;08/03/2020;1.022;0;18;;;241;1.040;1,25
2;Alemania ;07/03/2020;781;1;18;;;129;799;0,96
2;Alemania ;06/03/2020;653;1;17;;;188;670;0,81
2;Alemania ;05/03/2020;466;0;16;;;220;482;0,58
2;Alemania ;04/03/2020;246;0;16;;;66;262;0,32
2;Alemania ;03/03/2020;180;0;16;;;37;196;0,24
2;Alemania ;02/03/2020;143;0;16;;;29;159;0,19
2;Alemania ;01/03/2020;114;0;16;;;51;130;0,16
2;Alemania ;29/02/2020;63;0;16;;;31;79;0,10
2;Alemania ;28/02/2020;32;0;16;;;2;48;0,06
2;Alemania ;27/02/2020;30;1;16;;;19;46;0,06
2;Alemania ;26/02/2020;12;1;15;;;10;27;0,03
2;Alemania ;25/02/2020;3;0;14;;;1;17;0,02
2;Alemania ;24/02/2020;2;0;14;;;0;16;0,02
2;Alemania ;23/02/2020;2;0;14;;;0;16;0,02
2;Alemania ;22/02/2020;2;0;14;;;0;16;0,02
2;Alemania ;21/02/2020;2;2;14;;;0;16;0,02
2;Alemania ;20/02/2020;4;0;12;;;0;16;0,02
2;Alemania ;19/02/2020;4;0;12;;;0;16;0,02
2;Alemania ;18/02/2020;4;11;12;;;0;16;0,02
2;Alemania ;17/02/2020;15;0;1;;;0;16;0,02
2;Alemania ;16/02/2020;15;0;1;;;0;16;0,02
2;Alemania ;15/02/2020;15;0;1;;;0;16;0,02
2;Alemania ;14/02/2020;15;0;1;;;0;16;0,02
2;Alemania ;13/02/2020;15;1;1;;;0;16;0,02
2;Alemania ;12/02/2020;16;;;;;0;16;0,02
2;Alemania ;11/02/2020;16;;;;;2;16;0,02
2;Alemania ;10/02/2020;14;;;;;0;14;0,02
2;Alemania ;09/02/2020;14;;;;;1;14;0,02
2;Alemania ;08/02/2020;13;;;;;0;13;0,02
2;Alemania ;07/02/2020;13;;;;;1;13;0,02
2;Alemania ;06/02/2020;12;;;;;0;12;0,01
2;Alemania ;05/02/2020;12;;;;;0;12;0,01
2;Alemania ;04/02/2020;12;;;;;0;12;0,01
2;Alemania ;03/02/2020;12;;;;;2;12;0,01
2;Alemania ;02/02/2020;10;;;;;2;10;0,01
2;Alemania ;01/02/2020;8;;;;;3;8;0,01
2;Alemania ;31/01/2020;5;;;;;1;5;0,01
2;Alemania ;30/01/2020;4;;;;;0;4;0
2;Alemania ;29/01/2020;4;;;;;0;4;0
2;Alemania ;28/01/2020;4;;;;;3;4;0
2;Alemania ;27/01/2020;1;;;;;1;1;0
3;Reino Unido ;01/04/2020;27.329;0;179;564;2.357;4.384;29.865;44,81
3;Reino Unido ;31/03/2020;23.509;8;179;382;1.793;3.028;25.481;38,23
3;Reino Unido ;30/03/2020;20.871;20;171;180;1.411;2.673;22.453;33,69
