1;Cadena perpetua;1994;9.3;2,201,192;13;2h 22min;Drama;9.4;9.3;9.3;9.1
2;El padrino;1972;9.2;1,516,621;18;2h 55min;Crime, Drama;9.2;9.2;9.2;9.1
3;El padrino: Parte II;1974;9.0;1,062,493;18;3h 22min;Crime, Drama;9.1;9.1;9.0;8.9
4;El caballero oscuro;2008;9.0;2,182,674;12;2h 32min;Action, Crime, Drama;9.3;9.2;9.0;8.4
5;12 hombres sin piedad;1957;8.9;642,713;A;1h 36min;Drama;9.3;9.1;8.9;8.7
6;La lista de Schindler;1993;8.9;1,148,678;12;3h 15min;Biography, Drama, History;9.1;9.0;8.9;8.7
7;El señor de los anillos: El retorno del rey;2003;8.9;1,564,488;12;3h 21min;Adventure, Drama, Fantasy;9.2;9.1;8.8;8.7
8;Pulp Fiction;1994;8.9;1,729,753;18;2h 34min;Crime, Drama;9.1;8.9;8.9;8.7
9;El bueno, el feo y el malo;1966;8.8;652,628;13;3h 2min;Western;9.1;8.9;8.8;8.7
10;El señor de los anillos: La comunidad del anillo;2001;8.8;1,576,387;12;2h 58min;Action, Adventure, Drama;8.9;8.9;8.7;8.6
11;El club de la lucha;1999;8.8;1,757,986;18;2h 19min;Drama;9.1;8.9;8.8;8.2
12;Forrest Gump;1994;8.8;1,699,130;A;2h 22min;Drama, Romance;9.0;8.9;8.8;8.5
13;Origen;2010;8.8;1,931,555;12;2h 28min;Action, Adventure, Sci-Fi;9.0;9.0;8.7;8.1
14;El imperio contraataca;1980;8.7;1,104,539;T;2h 4min;Action, Adventure, Fantasy;8.9;8.7;8.7;8.8
15;El señor de los anillos: Las dos torres;2002;8.7;1,412,515;12;2h 59min;Adventure, Drama, Fantasy;8.9;8.9;8.6;8.5
16;Matrix;1999;8.7;1,585,017;18;2h 16min;Action, Sci-Fi;8.5;8.6;8.8;8.6
17;Uno de los nuestros;1990;8.7;958,381;18;2h 26min;Biography, Crime, Drama;9.0;8.7;8.7;8.6
18;Alguien voló sobre el nido del cuco;1975;8.7;867,722;18;2h 13min;Drama;8.9;8.7;8.6;8.7
19;Los siete samuráis;1954;8.6;298,057;T;3h 27min;Action, Adventure, Drama;9.1;8.6;8.6;8.7
20;Seven;1995;8.6;1,356,278;18;2h 7min;Crime, Drama, Mystery;8.8;8.6;8.6;8.4
21;Ciudad de Dios;2002;8.6;669,430;18;2h 10min;Crime, Drama;8.7;8.7;8.6;8.3
22;La vida es bella;1997;8.6;584,108;T;1h 56min;Comedy, Drama, Romance;8.5;8.8;8.6;8.2
23;El silencio de los corderos;1991;8.6;1,195,006;18;1h 58min;Crime, Drama, Thriller;8.7;8.6;8.6;8.6
24;¡Qué bello es vivir!;1946;8.6;377,668;T;2h 10min;Drama, Family, Fantasy;8.7;8.7;8.5;8.7
25;Parásitos;2019;8.6;317,775;16;2h 12min;Comedy, Drama, Thriller;9.1;8.8;8.4;8.2
26;La guerra de las galaxias;1977;8.6;1,176,511;A;2h 1min;Action, Adventure, Fantasy;8.6;8.5;8.6;8.8
27;Salvar al soldado Ryan;1998;8.6;1,167,656;13;2h 49min;Drama, War;8.7;8.7;8.5;8.5
28;El viaje de Chihiro;2001;8.6;594,360;A;2h 5min;Animation, Adventure, Family;8.8;8.7;8.5;8.3
29;La milla verde;1999;8.6;1,074,360;13;3h 9min;Crime, Drama, Fantasy;8.9;8.7;8.5;8.4
30;Interstellar;2014;8.6;1,384,488;12;2h 49min;Adventure, Drama, Sci-Fi;8.9;8.9;8.5;8.0
31;El profesional (Léon);1994;8.5;975,821;18;1h 50min;Action, Crime, Drama;8.7;8.6;8.6;8.4
32;Sospechosos habituales;1995;8.5;943,303;18;1h 46min;Crime, Mystery, Thriller;8.5;8.5;8.6;8.5
33;Harakiri;1962;8.7;31,150;NC;2h 13min;Action, Drama, History;7.3;8.8;8.7;8.5
34;El rey león;1994;8.5;890,521;A;1h 28min;Animation, Adventure, Drama;8.6;8.7;8.5;7.9
35;American History X;1998;8.5;989,915;13;1h 59min;Drama;8.7;8.6;8.5;8.1
36;Terminator 2: El juicio final;1991;8.5;951,901;18;2h 17min;Action, Sci-Fi;8.6;8.4;8.6;8.3
37;Regreso al futuro;1985;8.5;985,723;A;1h 56min;Adventure, Comedy, Sci-Fi;8.7;8.5;8.6;8.4
38;El pianista;2002;8.5;681,319;13;2h 30min;Biography, Drama, Music;8.7;8.7;8.5;8.2
39;Tiempos modernos;1936;8.5;202,864;T;1h 27min;Comedy, Drama, Family;8.4;8.6;8.5;8.5
40;Psicosis;1960;8.5;566,411;13;1h 49min;Horror, Mystery, Thriller;8.7;8.6;8.5;8.5
41;Gladiator (El gladiador);2000;8.5;1,270,908;12;2h 35min;Action, Adventure, Drama;8.4;8.6;8.5;8.3
42;Luces de la ciudad;1931;8.5;156,260;T;1h 27min;Comedy, Drama, Romance;8.7;8.6;8.5;8.5
43;Intocable;2011;8.5;713,419;7;1h 52min;Biography, Comedy, Drama;8.4;8.7;8.5;8.2
